# GENERATED by scripts/check-doc-evidence.sh --update. Do not edit by hand.
# path	line	citing-doc	fingerprint-of-cited-line
Cargo.toml	45	docs/reference/features/feature-index.yaml	fa72a98b6370
Cargo.toml	49	docs/reference/features/feature-index.yaml	fa72a98b6370
Cargo.toml	53	docs/reference/features/feature-index.yaml	fa72a98b6370
benchmarks/palladium/bubble_sort.pd	11	docs/specification/language-spec.md	df0f5c145b7b
bootstrap/v2_full_compiler/parser.pd	178	docs/specification/bootstrap-subset.md	0f84a753b824
docs/marketing/Turing.md	67	docs/reference/features/advanced/totality-checking.md	1825edf6bd0c
docs/marketing/avp_marketing.md	17	docs/reference/features/advanced/totality-checking.md	f4531523e2b8
docs/specification/grammar.ebnf	56	docs/reference/features/async-system/async-as-effect.md	16acbe64135a
docs/specification/grammar.ebnf	58	docs/reference/features/async-system/async-as-effect.md	8563cf65aec8
docs/specification/grammar.ebnf	91	docs/reference/features/async-system/async-as-effect.md	d4cfe0aa8434
docs/specification/grammar.ebnf	216	docs/reference/features/async-system/async-as-effect.md	adf6911b8a98
grammar.ebnf	58	docs/reference/features/core-language/implicit-lifetimes.md	8563cf65aec8
grammar.ebnf	66	docs/reference/features/advanced/totality-checking.md	683201d8cbd8
grammar.ebnf	130	docs/reference/features/core-language/implicit-lifetimes.md	862cabb5d5a1
grammar.ebnf	145	docs/reference/features/core-language/implicit-lifetimes.md	27eae3e7e3c5
scripts/conformance.sh	15	docs/reference/features/feature-index.yaml	359f7c2a5075
src/ast/mod.rs	139	docs/specification/language-spec.md	f2408be09ac1
src/ast/mod.rs	313	docs/reference/features/advanced/totality-checking.md	8a1bdbb2637d
src/ast/mod.rs	313	docs/reference/features/feature-index.yaml	8a1bdbb2637d
src/ast/mod.rs	313	docs/specification/bootstrap-subset.md	8a1bdbb2637d
src/ast/mod.rs	313	docs/specification/language-spec.md	8a1bdbb2637d
src/builtins.rs	1	docs/reference/features/feature-index.yaml	b2040a84f342
src/cli.rs	14	docs/reference/features/feature-index.yaml	701dcf50c0cc
src/codegen/llvm_text_backend.rs	914	docs/reference/features/feature-index.yaml	b2dd21aa6c8e
src/codegen/llvm_text_backend.rs	921	docs/reference/features/feature-index.yaml	bb73a2db7d84
src/codegen/llvm_text_backend.rs	933	docs/reference/features/feature-index.yaml	fe2626af0534
src/codegen/llvm_text_backend.rs	1222	docs/reference/features/feature-index.yaml	e91624312e8e
src/codegen/llvm_text_backend.rs	1379	docs/reference/features/feature-index.yaml	4f12aafc7996
src/codegen/mod.rs	427	docs/specification/language-spec.md	5b5674d3e28b
src/codegen/mod.rs	497	docs/specification/language-spec.md	e1ba13ee9909
src/codegen/mod.rs	828	docs/specification/bootstrap-subset.md	af7a3679f135
src/codegen/mod.rs	1011	docs/reference/features/feature-index.yaml	78074ff85f28
src/codegen/mod.rs	1011	docs/specification/language-spec.md	78074ff85f28
src/codegen/mod.rs	1025	docs/specification/language-spec.md	636c1f6b4e47
src/codegen/mod.rs	1084	docs/specification/language-spec.md	56053f73329f
src/codegen/mod.rs	1104	docs/specification/bootstrap-subset.md	dfe6f7416368
src/codegen/mod.rs	1109	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/codegen/mod.rs	1150	docs/specification/bootstrap-subset.md	dfe6f7416368
src/codegen/mod.rs	1336	docs/specification/bootstrap-subset.md	45009547bad0
src/codegen/mod.rs	1349	docs/specification/language-spec.md	600800dbe456
src/codegen/mod.rs	1350	docs/reference/features/feature-index.yaml	0b77a4dad597
src/codegen/mod.rs	1351	docs/reference/features/feature-index.yaml	8b19754605ea
src/codegen/mod.rs	1367	docs/reference/features/advanced/totality-checking.md	5cd73aa28180
src/codegen/mod.rs	1367	docs/reference/features/feature-index.yaml	5cd73aa28180
src/codegen/mod.rs	1367	docs/specification/language-spec.md	5cd73aa28180
src/codegen/mod.rs	1372	docs/specification/bootstrap-subset.md	08e3d0b4aa7f
src/codegen/mod.rs	1553	docs/specification/bootstrap-subset.md	e3b0c44298fc
src/codegen/mod.rs	1555	docs/reference/features/feature-index.yaml	9b66c55c534f
src/codegen/mod.rs	1555	docs/specification/language-spec.md	9b66c55c534f
src/codegen/mod.rs	1634	docs/reference/features/feature-index.yaml	b0724c5f00e2
src/codegen/mod.rs	1634	docs/specification/language-spec.md	b0724c5f00e2
src/codegen/mod.rs	1870	docs/specification/language-spec.md	d10b36aa74a5
src/codegen/mod.rs	1920	docs/reference/features/feature-index.yaml	e43720b5a954
src/codegen/mod.rs	1920	docs/specification/language-spec.md	e43720b5a954
src/codegen/mod.rs	1954	docs/reference/features/feature-index.yaml	4532c5ca86ed
src/codegen/mod.rs	1954	docs/specification/language-spec.md	4532c5ca86ed
src/codegen/mod.rs	2121	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/codegen/mod.rs	2160	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/codegen/mod.rs	2186	docs/specification/language-spec.md	1aeed20b0ecf
src/codegen/mod.rs	2208	docs/specification/bootstrap-subset.md	cb8a3ea5efa9
src/codegen/mod.rs	2498	docs/specification/language-spec.md	6fe9ccd337eb
src/codegen/mod.rs	2548	docs/reference/features/async-system/async-as-effect.md	ac2d4fd43e0f
src/codegen/mod.rs	2548	docs/specification/language-spec.md	ac2d4fd43e0f
src/codegen/mod.rs	2554	docs/reference/features/feature-index.yaml	5cebb58f42fe
src/codegen/mod.rs	2569	docs/reference/features/feature-index.yaml	693d50f99a4d
src/codegen/mod.rs	2604	docs/reference/features/async-system/async-as-effect.md	994c0e5d37e3
src/codegen/mod.rs	2604	docs/specification/language-spec.md	994c0e5d37e3
src/codegen/mod.rs	2606	docs/reference/features/feature-index.yaml	21cf5e367dbd
src/driver/mod.rs	49	docs/reference/features/feature-index.yaml	9ec5ae2ed903
src/driver/mod.rs	49	docs/specification/language-spec.md	9ec5ae2ed903
src/driver/mod.rs	53	docs/reference/features/feature-index.yaml	56f8f09ac839
src/driver/mod.rs	147	docs/reference/features/async-system/async-as-effect.md	e43db400c0be
src/driver/mod.rs	147	docs/reference/features/feature-index.yaml	e43db400c0be
src/driver/mod.rs	147	docs/specification/language-spec.md	e43db400c0be
src/driver/mod.rs	148	docs/reference/features/async-system/async-as-effect.md	c6fb79f1aea6
src/driver/mod.rs	151	docs/reference/features/async-system/async-as-effect.md	ee0a89753716
src/driver/mod.rs	151	docs/specification/language-spec.md	ee0a89753716
src/driver/mod.rs	152	docs/reference/features/feature-index.yaml	0e752a9d643b
src/driver/mod.rs	162	docs/reference/features/feature-index.yaml	cec9e49f3460
src/driver/mod.rs	162	docs/specification/language-spec.md	cec9e49f3460
src/driver/mod.rs	172	docs/reference/features/feature-index.yaml	6632d08a5576
src/driver/mod.rs	183	docs/reference/features/feature-index.yaml	5d3dcfb7f3f5
src/driver/mod.rs	261	docs/specification/bootstrap-subset.md	ff94819b6dbd
src/effects/mod.rs	262	docs/reference/features/async-system/async-as-effect.md	95ac47e4da0e
src/effects/mod.rs	265	docs/reference/features/feature-index.yaml	2ac8aa9dd67a
src/lexer/token.rs	12	docs/specification/bootstrap-subset.md	e162ac4027ac
src/lexer/token.rs	12	docs/specification/language-spec.md	e162ac4027ac
src/lexer/token.rs	26	docs/specification/bootstrap-subset.md	d88acb4bceb1
src/lexer/token.rs	33	docs/reference/features/feature-index.yaml	b97e219c157c
src/lexer/token.rs	33	docs/specification/language-spec.md	b97e219c157c
src/lexer/token.rs	111	docs/reference/features/async-system/async-as-effect.md	85cf6095e7f9
src/lexer/token.rs	111	docs/reference/features/feature-index.yaml	85cf6095e7f9
src/lexer/token.rs	117	docs/reference/features/feature-index.yaml	4ef16b8da51c
src/lib.rs	5	docs/reference/features/feature-index.yaml	edf3e84c20a2
src/macros/mod.rs	41	docs/reference/features/feature-index.yaml	8922f12cdd4a
src/macros/mod.rs	41	docs/specification/language-spec.md	8922f12cdd4a
src/macros/mod.rs	161	docs/specification/bootstrap-subset.md	e9048b339b04
src/macros/mod.rs	167	docs/reference/features/feature-index.yaml	4937b6ff3ab8
src/macros/mod.rs	167	docs/specification/language-spec.md	4937b6ff3ab8
src/main.rs	100	docs/reference/features/feature-index.yaml	701dcf50c0cc
src/ownership/borrow_checker.rs	48	docs/specification/language-spec.md	10c086f545ca
src/ownership/borrow_checker.rs	179	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/ownership/borrow_checker.rs	179	docs/specification/language-spec.md	d10b36aa74a5
src/ownership/borrow_checker.rs	236	docs/reference/features/core-language/implicit-lifetimes.md	3975922a5a94
src/ownership/borrow_checker.rs	236	docs/reference/features/feature-index.yaml	3975922a5a94
src/ownership/borrow_checker.rs	236	docs/specification/language-spec.md	3975922a5a94
src/ownership/mod.rs	27	docs/reference/features/core-language/implicit-lifetimes.md	e06a29f1a329
src/ownership/mod.rs	107	docs/specification/bootstrap-subset.md	7af28f585d16
src/ownership/mod.rs	109	docs/reference/features/feature-index.yaml	8103577ec368
src/ownership/mod.rs	109	docs/specification/language-spec.md	8103577ec368
src/package/lockfile.rs	341	docs/reference/features/feature-index.yaml	6646f3d1b5b4
src/parser/mod.rs	36	docs/reference/features/core-language/implicit-lifetimes.md	941171fa2fb0
src/parser/mod.rs	36	docs/reference/features/feature-index.yaml	941171fa2fb0
src/parser/mod.rs	176	docs/reference/features/feature-index.yaml	45976242aecd
src/parser/mod.rs	176	docs/specification/language-spec.md	45976242aecd
src/parser/mod.rs	259	docs/specification/language-spec.md	17c6d474e56f
src/parser/mod.rs	344	docs/specification/language-spec.md	9db1fcae3b35
src/parser/mod.rs	354	docs/reference/features/async-system/async-as-effect.md	bf78a17122be
src/parser/mod.rs	379	docs/specification/language-spec.md	cc99843703d1
src/parser/mod.rs	549	docs/internals/ARCHITECTURE.md	c5f143e3557a
src/parser/mod.rs	553	docs/reference/features/core-language/implicit-lifetimes.md	3691b2469f5b
src/parser/mod.rs	553	docs/reference/features/feature-index.yaml	3691b2469f5b
src/parser/mod.rs	553	docs/specification/language-spec.md	3691b2469f5b
src/parser/mod.rs	565	docs/reference/features/async-system/async-as-effect.md	3497d410c0eb
src/parser/mod.rs	565	docs/reference/features/feature-index.yaml	3497d410c0eb
src/parser/mod.rs	565	docs/specification/language-spec.md	3497d410c0eb
src/parser/mod.rs	752	docs/reference/features/feature-index.yaml	201ccd97bbaa
src/parser/mod.rs	752	docs/specification/language-spec.md	201ccd97bbaa
src/parser/mod.rs	875	docs/specification/language-spec.md	42d1cdf9c446
src/parser/mod.rs	876	docs/reference/features/feature-index.yaml	cb78d967e569
src/parser/mod.rs	1045	docs/specification/language-spec.md	fd6c5de8adde
src/parser/mod.rs	1263	docs/specification/bootstrap-subset.md	bfe03ca491a1
src/parser/mod.rs	1274	docs/reference/features/feature-index.yaml	7ffcc503358f
src/parser/mod.rs	1274	docs/specification/language-spec.md	7ffcc503358f
src/parser/mod.rs	1301	docs/specification/bootstrap-subset.md	6dc6a7bf7f11
src/parser/mod.rs	1321	docs/specification/language-spec.md	efe2f78c7527
src/parser/mod.rs	1325	docs/reference/features/feature-index.yaml	3a905244830e
src/parser/mod.rs	1325	docs/specification/language-spec.md	3a905244830e
src/parser/mod.rs	1331	docs/reference/features/feature-index.yaml	eb07adc20e9e
src/parser/mod.rs	1405	docs/specification/language-spec.md	cfbbcd16e936
src/parser/mod.rs	1411	docs/specification/bootstrap-subset.md	b5bea41b6c62
src/parser/mod.rs	1441	docs/specification/bootstrap-subset.md	6cec43a39e30
src/parser/mod.rs	1469	docs/reference/features/feature-index.yaml	5659f666d863
src/parser/mod.rs	1469	docs/specification/language-spec.md	5659f666d863
src/parser/mod.rs	1990	docs/specification/language-spec.md	a86c29990d38
src/parser/mod.rs	2037	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/parser/mod.rs	2054	docs/specification/bootstrap-subset.md	2c58b0f2b094
src/parser/mod.rs	2062	docs/specification/language-spec.md	10349ab0a0a0
src/parser/mod.rs	2064	docs/specification/language-spec.md	4093f823773b
src/parser/mod.rs	2094	docs/reference/features/feature-index.yaml	6bbab2f9611c
src/parser/mod.rs	2094	docs/specification/language-spec.md	6bbab2f9611c
src/runtime/string_ops.rs	398	docs/reference/features/advanced/totality-checking.md	b8736fb052c9
src/runtime/string_ops.rs	398	docs/reference/features/feature-index.yaml	b8736fb052c9
src/typeck/mod.rs	121	docs/reference/features/core-language/implicit-lifetimes.md	338e779ddf8c
src/typeck/mod.rs	121	docs/reference/features/feature-index.yaml	338e779ddf8c
src/typeck/mod.rs	121	docs/specification/language-spec.md	338e779ddf8c
src/typeck/mod.rs	352	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/typeck/mod.rs	365	docs/specification/language-spec.md	25d1c4d5945e
src/typeck/mod.rs	795	docs/reference/features/feature-index.yaml	78074ff85f28
src/typeck/mod.rs	795	docs/specification/language-spec.md	78074ff85f28
src/typeck/mod.rs	1349	docs/reference/features/feature-index.yaml	785cb833e3d8
src/typeck/mod.rs	1349	docs/specification/language-spec.md	785cb833e3d8
src/typeck/mod.rs	1562	docs/specification/language-spec.md	44666adec598
src/typeck/mod.rs	1712	docs/specification/bootstrap-subset.md	6d888605c560
src/typeck/mod.rs	1874	docs/specification/bootstrap-subset.md	d10b36aa74a5
src/typeck/mod.rs	2345	docs/reference/features/feature-index.yaml	6dbf48a5b2ee
src/typeck/mod.rs	2345	docs/specification/language-spec.md	6dbf48a5b2ee
src/typeck/mod.rs	2784	docs/reference/features/feature-index.yaml	917b6d488770
src/typeck/mod.rs	2784	docs/specification/language-spec.md	917b6d488770
